trial_id,cycle,y
5,20,2.8832272663475804e-4
5,21,2.886312277311449e-4
5,22,2.8373481856414003e-4
5,23,2.798235747456724e-4
5,24,2.785681353575824e-4
5,25,2.8526900935608144e-4
5,26,2.8288242026283764e-4
5,27,2.7848600968519903e-4
5,28,2.7755069774810587e-4
5,29,2.755458777510707e-4
5,30,2.74914405681251e-4
5,31,2.718289697237012e-4
5,32,2.745441351630002e-4
5,33,2.821368152555677e-4
5,34,2.7400915966752163e-4
5,35,2.729333700628988e-4
5,36,2.72659549873988e-4
5,37,2.740998809483236e-4
5,38,2.7351237451322984e-4
5,39,2.702218518630723e-4
5,40,2.684773537952366e-4
6,1,3.5025181772028124e-4
6,2,3.4873856475385297e-4
6,3,3.514072092191082e-4
6,4,3.532009377569319e-4
6,5,3.500322005092023e-4
6,6,3.4808852062121403e-4
6,7,3.529958392040817e-4
6,8,3.4884588369803085e-4
6,9,3.490801163537679e-4
6,10,3.479721248850236e-4
6,11,3.479076569800475e-4
6,12,3.486958091448721e-4
6,13,3.47654163540468e-4
6,14,3.4896652501283874e-4
6,15,3.420136941735818e-4
6,16,3.421340738140631e-4
6,17,3.385166221694907e-4
6,18,3.4566691472635337e-4
6,19,3.4100319986078183e-4
6,20,3.421242996924172e-4
6,21,3.4391435046065004e-4
6,22,3.3613358613912645e-4
6,23,3.343485065176993e-4
6,24,3.343182929881134e-4
6,25,3.3386451485975803e-4
6,26,3.3581902822249845e-4
6,27,3.2713715381782064e-4
6,28,3.2993399412227975e-4
6,29,3.2254736177930575e-4
6,30,3.2697358713453065e-4
6,31,3.2333007591563265e-4
6,32,3.259325047863626e-4
6,33,3.223245238614893e-4
6,34,3.1967741618431296e-4
6,35,3.1145140652805435e-4
6,36,3.139713745785859e-4
6,37,3.1111775639942977e-4
6,38,3.109645850763138e-4
6,39,3.089162625925989e-4
6,40,3.0558994025707765e-4
6,41,3.043297787750482e-4
6,42,2.9987097989005905e-4
6,43,2.9947274043494633e-4
6,44,2.9528825324439556e-4
6,45,2.966762716034068e-4
6,46,2.926849226968944e-4
6,47,2.9418160712785496e-4
6,48,2.880480130041399e-4
6,49,2.8623008283631474e-4
6,50,2.8452743748441964e-4
6,51,2.820270784652444e-4
7,1,2.9035384281708704e-4
7,2,2.920339471904381e-4
7,3,2.904068327572428e-4
7,4,2.9088161540608264e-4
7,5,2.900152369748395e-4
7,6,2.9196054348622045e-4
7,7,2.886922296851545e-4
7,8,2.896971888944695e-4
7,9,2.927544544520548e-4
7,10,2.926908977790332e-4
7,11,2.8955524462369027e-4
7,12,2.874189469723429e-4
7,13,2.8827525360618255e-4
7,14,2.884213263755734e-4
7,15,2.859832833502404e-4
7,16,2.8492596170055963e-4
7,17,2.8733919321568375e-4
7,18,2.871043323689377e-4
7,19,2.825697536384929e-4
7,20,2.8364277089829644e-4
7,21,2.8500316729448944e-4
7,22,2.8478141863078706e-4
7,23,2.7920598735505723e-4
7,24,2.806376752543246e-4
7,25,2.8441364585674977e-4
7,26,2.806211329845761e-4
7,27,2.7998258869967773e-4
7,28,2.778152187698548e-4
7,29,2.8056901731314304e-4
7,30,2.7893473630171133e-4
7,31,2.8043430856294384e-4
7,32,2.740895448365319e-4
7,33,2.7316907357238584e-4
7,34,2.720812337535481e-4
7,35,2.727142451988096e-4
7,36,2.738316030238428e-4
7,37,2.7194492559454056e-4
7,38,2.714309252464436e-4
7,39,2.70926900170485e-4
7,40,2.686452961010031e-4
7,41,2.678473364865207e-4
8,1,3.503611439930775e-4
8,2,3.487250956757832e-4
8,3,3.514448156740355e-4
8,4,3.518717423216247e-4
8,5,3.5374419774863227e-4
8,6,3.506913609188081e-4
8,7,3.48034509018957e-4
8,8,3.5420277542935616e-4
8,9,3.5297736552884453e-4
8,10,3.4779263574829123e-4
8,11,3.47823565613815e-4
8,12,3.4850056122556994e-4
8,13,3.484467138818174e-4
8,14,3.439144957144392e-4
8,15,3.483522237883168e-4
8,16,3.462778892055142e-4
8,17,3.423141764405412e-4
8,18,3.429929611893779e-4
8,19,3.432621724818599e-4
8,20,3.358998882960731e-4
8,21,3.3927913071917014e-4
8,22,3.385594118309764e-4
